INSTANCE,FIRST_FIT,BEST_FIT,WORST_FIT,ALMOST_WORST_FIT
GA-HardAWF_20_000.bpp,-1,-1,-1,-0.7004
GA-HardAWF_20_001.bpp,-1,-1,-1,-0.7412
GA-HardAWF_20_002.bpp,-0.9846,-0.9846,-0.9845,-0.717
GA-HardAWF_20_003.bpp,-1,-1,-1,-0.7212
GA-HardAWF_20_004.bpp,-0.9922,-0.9922,-0.9922,-0.7494
GA-HardAWF_20_005.bpp,-1,-1,-1,-0.7533
GA-HardAWF_20_006.bpp,-0.9938,-0.9938,-0.9938,-0.7911
GA-HardAWF_20_007.bpp,-0.9922,-0.9922,-0.9922,-0.7207
GA-HardAWF_20_008.bpp,-1,-1,-1,-0.7706
GA-HardAWF_20_009.bpp,-1,-1,-1,-0.7542
GA-HardAWF_20_010.bpp,-1,-1,-1,-0.7547
GA-HardAWF_20_011.bpp,-1,-1,-1,-0.7053
GA-HardAWF_20_012.bpp,-1,-1,-1,-0.7836
GA-HardAWF_20_013.bpp,-1,-1,-1,-0.7651
GA-HardAWF_20_014.bpp,-1,-1,-1,-0.7667
GA-HardAWF_20_015.bpp,-1,-1,-1,-0.7493
GA-HardAWF_20_016.bpp,-1,-1,-1,-0.7016
GA-HardAWF_20_017.bpp,-1,-1,-1,-0.7639
GA-HardAWF_20_018.bpp,-0.9846,-0.9846,-0.9845,-0.7112
GA-HardAWF_20_019.bpp,-0.9424,-0.9424,-0.9399,-0.6977
GA-HardAWF_20_020.bpp,-1,-1,-1,-0.7446
GA-HardAWF_20_021.bpp,-0.9922,-0.9922,-0.9922,-0.7279
GA-HardAWF_20_022.bpp,-1,-1,-1,-0.7444
GA-HardAWF_20_023.bpp,-1,-1,-1,-0.6668
GA-HardAWF_20_024.bpp,-1,-1,-1,-0.7258
GA-HardBF_20_000.bpp,-0.9876,-0.7574,-0.9877,-0.9876
GA-HardBF_20_001.bpp,-0.9048,-0.7409,-0.9048,-0.9048
GA-HardBF_20_002.bpp,-0.7698,-0.7697,-0.707,-0.7694
GA-HardBF_20_003.bpp,-0.8481,-0.6663,-0.8431,-0.8482
GA-HardBF_20_004.bpp,-0.7113,-0.7113,-0.7113,-0.7113
